"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.sample.JMHSample_21_ConsumeCPU.consume_0000","avgt",1,5,1.498626,0.071659,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0001","avgt",1,5,2.564908,0.295618,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0002","avgt",1,5,3.501074,0.368089,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0004","avgt",1,5,4.011564,0.154630,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0008","avgt",1,5,5.783703,0.201592,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0016","avgt",1,5,11.417897,0.350182,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0032","avgt",1,5,25.328567,0.635172,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0064","avgt",1,5,63.287783,1.756308,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0128","avgt",1,5,169.435314,52.475689,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0256","avgt",1,5,388.756559,64.962356,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0512","avgt",1,5,877.564077,57.948546,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_1024","avgt",1,5,1713.943510,281.594793,"ns/op"
