"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.sample.JMHSample_21_ConsumeCPU.consume_0000","avgt",1,5,2.063633,0.673676,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0001","avgt",1,5,3.640030,0.579210,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0002","avgt",1,5,4.851126,0.910361,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0004","avgt",1,5,6.064064,2.419168,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0008","avgt",1,5,8.151463,1.041066,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0016","avgt",1,5,16.369370,1.791098,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0032","avgt",1,5,35.753289,2.623029,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0064","avgt",1,5,90.197007,11.112954,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0128","avgt",1,5,217.722961,18.802921,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0256","avgt",1,5,446.002589,52.808145,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0512","avgt",1,5,913.013096,170.466550,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_1024","avgt",1,5,1933.685406,163.255156,"ns/op"
